first_name,last_name,credit_score,annual_income,loan_amount,employment_duration,Age,EmploymentStatus,MaritalStatus,Vehicle_Ownership,Children_Count,Previous_Loan_Count,default
Mohamed,Lekhal,616,929427,390000,2,65,employed,married,No,2,5,1
Amina,Bouzid,801,1028625,390000,14,55,employed,married,Yes,0,1,0
Djamila,Hamzaoui,793,1019829,80000,4,31,employed,single,Yes,0,1,0
Khadija,Majid,702,1873179,600000,2,57,employed,divorced,Yes,4,5,0
Yasmin,Aziz,569,626725,520000,2,35,employed,married,No,1,5,1
Malika,Attaf,620,698091,770000,0,52,unemployed,single,No,0,3,0
Salima,Hocine,695,698896,200000,0,69,unemployed,married,No,0,7,1
Yasmin,Mokrani,343,855430,760000,9,36,employed,divorced,Yes,3,0,1
Farida,Nemdil,796,1236253,350000,11,29,employed,single,Yes,0,2,0
Amir,Sebti,513,686384,860000,0,35,unemployed,divorced,Yes,2,1,1
Mohamed,Fettis,807,937227,435000,0,44,unemployed,married,No,1,1,0
Karim,Mammeri,755,1690102,590000,18,61,self-employed,single,Yes,0,6,0
Leila,Hamidi,671,973038,590000,0,42,student,divorced,Yes,2,2,0
Aisha,Sid,642,580981,580000,1,37,employed,married,Yes,2,2,1
Sara,Samir,361,839689,210000,4,66,employed,married,Yes,5,2,1
Sofiane,Abdi,789,1411427,190000,0,39,unemployed,single,Yes,0,2,0
Mohamed,Mostefa,602,876099.5,520000,7,68,employed,married,No,3,0,0
Nadia,Sami,476,894944,580000,0,45,unemployed,divorced,No,2,3,1
Ahmed,Meziane,682,1385536,290000,11,47,self-employed,single,No,0,6,1
Said,Zarour,760,1596751,630000,0,46,unemployed,single,Yes,0,3,0
Samira,Karoui,627,545502,440000,8,66,employed,married,Yes,3,10,0
Fatima,Khalfaoui,543,336828,770000,0,62,unemployed,married,No,5,4,1
Sofiane,Allaoua,668,1381603,600000,26,50,employed,married,No,0,2,0
Mustafa,Barakat,587,995317,880000,7,36,employed,single,No,0,2,1
Sara,Boussaha,848,1500246,590000,5,66,self-employed,married,No,3,6,0
Yasmin,Imad,320,757598,210000,2,22,employed,married,No,0,1,1
Samira,Amirouche,534,277002,530000,3,46,self-employed,single,No,0,3,1
Sara,Ould,429,728400,820000,6,28,self-employed,single,Yes,0,0,1
Khaled,Baraka,350,555090,540000,8,30,employed,married,Yes,0,1,1
Zohra,Djabiri,719,876470,420000,6,45,employed,single,Yes,0,4,0
Khaled,Meziani,463,670260,660000,3,22,employed,married,Yes,0,1,1
Samira,Sadmi,747,1180704,260000,14,65,employed,single,No,0,4,1
Sara,Oudjani,671,1008747,620000,2,29,employed,married,Yes,0,0,1
Sofiane,Chaib,771,1240874,210000,0,45,student,married,Yes,1,0,0
Mohamed,Kandil,718,1318025,120000,14,32,employed,single,No,0,1,0
Amir,Meriem,680,1561437,460000,13,38,employed,married,Yes,2,1,0
Omar,Tahiri,723,1554250,570000,11,29,self-employed,married,Yes,0,1,1
Iman,Malek,702,846927,310000,25,56,employed,single,No,0,9,0
Farida,Touati,465,375805,360000,7,56,self-employed,single,Yes,0,4,1
Leila,Zellag,449,633351,530000,4,54,employed,divorced,Yes,2,3,1
Sofiane,Kaddour,708,876099.5,435000,8,26,employed,single,Yes,0,0,1
Zohra,Achour,339,535837,740000,0,63,student,divorced,Yes,3,1,1
Ahmed,Meddour,689,715148,740000,0,60,unemployed,married,No,2,5,1
Iman,Selmani,652,678979,680000,1,62,self-employed,married,No,1,1,0
Youssef,Rabhi,599,325325,860000,0,49,student,married,No,1,2,1
Said,Darwish,654,1492994,360000,10,28,self-employed,single,No,0,2,1
Ahmed,Mebrouk,743,1716019,240000,12,30,employed,divorced,Yes,3,3,0
Sara,Chebout,629,916341,780000,6,29,employed,married,Yes,1,2,1
Yasmin,Mokhtari,438,854728,760000,0,33,student,married,No,1,2,1
Sofiane,Merzoug,370,867903,800000,2,55,self-employed,single,No,0,5,1
Mehdi,Hamou,718,1036834,170000,9,54,self-employed,married,No,2,6,0
Sofiane,Mokhtar,817,1773125,530000,20,47,employed,divorced,No,0,5,0
Leila,Soudani,751,1108303,330000,13,44,employed,divorced,Yes,2,4,0
Said,Ghezal,376,918384,350000,0,45,student,divorced,Yes,5,2,1
Khaled,Sadi,826,1791164,190000,16,58,employed,married,Yes,0,5,0
Sara,Azzam,762,1406078,220000,11,56,self-employed,single,Yes,0,0,0
Said,Badi,473,381320,435000,7,65,employed,single,No,0,9,1
Iman,Jebali,608,876099.5,140000,8,61,employed,divorced,No,2,6,1
Sofiane,Dahdouh,679,1899197,370000,0,43,student,single,Yes,0,0,0
Amina,Bahloul,609,770237,470000,0,48,student,single,No,0,1,1
Rachid,Soltani,484,795592,790000,9,56,employed,single,Yes,0,7,1
Salima,Ounas,810,1207093,200000,4,22,self-employed,married,Yes,0,1,0
Mohamed,Nassif,503,392466,590000,0,56,unemployed,divorced,Yes,3,3,1
Rachid,Boujellal,666,1301772,110000,26,58,self-employed,divorced,Yes,3,4,0
Leila,Bouteldja,790,1509578,410000,2,68,employed,married,No,5,6,0
Khaled,Mouloud,756,1389468,380000,13,35,self-employed,single,Yes,0,1,0
Fatima,Zeroual,664,953365,290000,6,24,employed,single,Yes,0,0,0
Salima,Mihoubi,684,639632,840000,4,22,employed,single,No,0,0,1
Salima,Khader,430,292016,610000,1,26,self-employed,married,No,3,1,1
Djamila,Laskri,432,501137,480000,8,47,employed,married,No,5,1,0
Farida,Mida,834,1281064,360000,17,35,employed,single,No,0,0,0
Omar,Sadji,811,1775308,110000,8,60,self-employed,single,Yes,0,7,0
Iman,Sabri,417,636836,930000,5,48,self-employed,married,No,2,1,1
Aisha,Khaldoun,653,1518273,290000,0,30,unemployed,single,Yes,0,0,1
Sofiane,Benali,676,1040652,390000,0,36,unemployed,single,Yes,0,2,1
Khadija,Karam,673,809252,630000,5,36,employed,divorced,Yes,3,2,1
Fatima,Sahnoun,660,876099.5,80000,24,47,employed,divorced,No,0,2,0
Zohra,Haddou,811,1133237,570000,8,63,employed,married,Yes,4,3,0
Youssef,Mimouni,842,835948,390000,0,34,student,married,Yes,2,1,0
Iman,Moussaoui,444,825849,690000,0,53,student,married,Yes,3,3,1
Yasmin,Haffaf,667,757840,540000,0,47,student,single,No,0,2,1
Malika,Larbi,489,427715,570000,0,70,student,married,Yes,1,4,1
Leila,Remache,639,583215,780000,9,53,employed,married,Yes,1,6,1
Fatima,Khiat,836,1044661,370000,7,25,employed,married,Yes,0,1,0
Sofiane,Baali,850,729830,560000,22,51,employed,divorced,No,0,4,0
Khadija,Ghomari,809,671728,450000,0,58,unemployed,single,Yes,0,7,1
Amir,Zafour,773,1236202,400000,26,44,employed,married,No,2,2,0
Nadia,Cheddad,683,1221737,270000,27,60,self-employed,married,No,1,4,0
Bilal,Daoud,645,406152,590000,3,66,employed,single,Yes,0,6,0
Fatima,Taleb,586,793051,280000,9,36,employed,married,No,2,1,0
Khaled,Lallam,663,395555,420000,3,64,employed,married,No,3,3,0
Nadia,Kahlouche,515,435005,435000,0,50,student,married,No,2,4,1
Farida,Khadda,455,876099.5,570000,0,57,unemployed,married,No,5,3,1
Sara,Abbas,763,1253271,130000,16,34,employed,married,Yes,1,3,0
Bilal,Chemakh,372,836739,840000,5,53,employed,married,Yes,5,3,1
Lamine,Antar,709,1618288,70000,0,28,student,married,No,2,0,0
Sara,Kasdi,655,402296,860000,7,43,employed,single,Yes,0,1,1
Ali,Didouche,773,1042528,435000,3,49,self-employed,married,Yes,5,5,0
Amina,Bensaada,774,1578966,490000,0,23,student,divorced,Yes,0,0,1
Farida,Amer,524,392912,830000,9,63,employed,divorced,No,4,3,1
Mustafa,Debiche,831,1837993,120000,9,66,employed,married,Yes,1,4,0
Aisha,Hammani,669,1176249,520000,9,27,self-employed,single,Yes,0,1,1
Zohra,Mahroug,762,987861,400000,15,49,employed,married,Yes,4,2,0
Lamine,Messili,769,1405695,500000,9,49,employed,single,Yes,0,5,1
Nadia,Agha,703,1852190,150000,19,65,self-employed,married,Yes,3,1,0
Amina,Fares,500,764070,510000,5,65,self-employed,married,Yes,1,6,0
Ahmed,Hadjeres,735,1876677,320000,2,41,self-employed,married,Yes,0,0,0
Fatima,Guettaf,388,762385,480000,0,51,student,single,Yes,0,3,1
Amir,Hakem,821,1607373,380000,6,32,employed,divorced,No,0,0,0
Said,Nessakh,727,717893,310000,7,49,employed,divorced,Yes,3,2,0
Aisha,Hachoud,822,1135050,435000,0,46,student,married,Yes,1,2,0
Zohra,Daas,717,932197,390000,0,60,unemployed,single,Yes,0,3,0
Said,Azzouz,786,995789,80000,15,54,employed,married,No,3,4,0
Lamine,Seddiki,842,742712,630000,4,22,self-employed,single,No,0,1,0
Yasmin,Allal,716,1690230,435000,3,48,employed,married,Yes,0,2,0
Bilal,Mekki,659,658591,140000,7,34,employed,married,No,2,0,0
Sofiane,Khabat,671,741077,830000,0,62,employed,married,No,5,5,1
Sofiane,Mahieddine,437,273083,590000,1,24,employed,married,No,0,3,1
Mustafa,Hamouche,355,489660,520000,6,60,employed,divorced,No,3,8,1
Djamila,Boumediene,658,1358495,420000,9,27,employed,married,Yes,2,1,0
Djamila,Lafri,842,914426,420000,11,29,employed,single,Yes,0,2,0
Amir,Naciri,788,642556,390000,0,48,unemployed,married,No,2,3,1
Djamila,Laouar,694,764045,630000,0,30,student,divorced,No,0,1,1
Ahmed,Boulahia,668,1657649,520000,0,58,unemployed,married,Yes,0,5,0
Ahmed,Mostefai,650,795247,180000,9,54,self-employed,married,Yes,1,1,0
Aisha,Khalfi,509,333368,190000,3,63,employed,divorced,No,0,4,1
Aisha,Seridi,565,437660,435000,7,65,employed,married,No,0,9,1
Amir,Madani,616,703019,480000,4,45,self-employed,married,No,0,0,1
Amir,Redouane,655,446099,530000,6,36,employed,single,No,0,0,1
Sara,Zabar,676,696981,670000,0,53,self-employed,single,No,0,3,1
Ahmed,Demir,676,1130058,220000,15,53,employed,married,No,5,6,0
Lamine,Mahmoud,650,606374,560000,2,45,self-employed,married,Yes,2,1,0
Nadia,Dida,505,665076,790000,2,62,employed,divorced,Yes,1,5,1
Ahmed,Chikhi,527,791187,690000,3,70,self-employed,married,No,2,5,1
Leila,Mahfoud,542,511568,920000,0,70,unemployed,married,No,2,11,1
Aisha,Zoubida,785,876099.5,90000,15,33,self-employed,married,Yes,0,0,0
Mohamed,Idris,817,934789,290000,27,60,employed,single,Yes,0,5,0
Farida,Tawati,830,1841734,250000,0,23,unemployed,single,Yes,0,1,0
Youssef,Gouasmia,550,607779,220000,2,24,self-employed,married,Yes,0,0,0
Karim,Laribi,727,1859518,240000,0,70,unemployed,married,Yes,3,4,0
Ali,Boussouf,686,624529,435000,0,58,unemployed,married,No,0,1,1
Mehdi,Fathallah,719,1370126,130000,0,70,student,single,No,0,8,0
Lamine,Keffi,760,1150970,570000,14,38,employed,married,No,3,0,0
Khadija,Hakimi,368,611213,130000,0,70,unemployed,married,Yes,2,3,1
Mehdi,Bakir,485,629010,350000,0,23,unemployed,single,No,0,1,1
Amir,Djillali,677,1252479,560000,5,23,self-employed,married,Yes,1,0,0
Djamila,Nefzi,335,718365,760000,3,49,employed,single,Yes,0,4,1
Youssef,Tabti,694,568840,880000,0,44,employed,married,No,3,3,1
Said,Djeghloul,527,869640,680000,3,58,self-employed,married,No,5,3,1
Ahmed,Khazri,340,395376,590000,2,53,self-employed,married,No,1,4,1
Zohra,Meddah,534,385686,300000,3,54,employed,single,No,0,3,1
Ali,Yakoub,705,1018093,435000,0,22,unemployed,single,No,0,1,0
Iman,Gana,572,998674,380000,9,40,employed,single,Yes,0,1,0
Mohamed,Hammadi,716,1908862,390000,5,23,employed,married,Yes,0,0,0
Mustafa,Lamara,677,1055678,520000,28,65,employed,single,Yes,0,6,1
Amir,Sayad,766,1902172,160000,7,47,employed,married,Yes,0,1,0
Sara,Hamdi,803,1871289,570000,0,53,unemployed,married,No,2,3,0
Djamila,Kassa,435,300455,340000,6,27,employed,single,No,0,0,1
Ahmed,Haddad,779,664540,410000,12,53,self-employed,married,No,4,6,0
Farida,Akkouche,544,882598,900000,7,25,self-employed,married,No,1,0,1
Sofiane,Megheni,838,752797,580000,0,32,student,married,No,0,1,0
Sara,Chih,326,326691,910000,0,38,unemployed,married,No,3,2,1
Khadija,Saad,421,470611,850000,0,59,employed,married,No,2,2,1
Salima,Boukhalfa,694,792630,520000,18,45,self-employed,divorced,No,2,1,0
Nadia,Remili,742,1329847,590000,0,26,student,married,Yes,0,0,1
Said,Allam,467,507661,500000,5,55,employed,single,No,0,3,0
Amina,Hachi,693,770850,435000,7,27,self-employed,single,Yes,0,1,0
Rachid,Toumi,671,956059,350000,6,43,self-employed,married,Yes,0,6,1
Leila,Menasria,524,443048,420000,6,32,self-employed,married,No,0,2,1
Karim,Mecheri,672,796639,280000,0,69,student,married,Yes,2,8,1
Leila,Sifi,682,483123,220000,0,37,unemployed,divorced,No,4,2,0
Lamine,Merad,728,862733,470000,5,54,employed,married,No,3,5,1
Samira,Hamdani,837,1630455,180000,12,30,self-employed,divorced,No,2,0,0
Bilal,Meksen,670,306379,940000,8,27,self-employed,married,No,0,0,1
Khadija,Sellami,654,887386,390000,18,37,employed,divorced,Yes,2,0,0
Nadia,Ighil,676,1819775,210000,24,50,employed,married,No,2,8,0
Fatima,Hamad,465,414539,680000,4,24,employed,married,No,0,1,1
Mustafa,Lachachi,758,885330,270000,21,41,self-employed,single,No,0,1,0
Youssef,Yousfi,431,505465,640000,8,57,self-employed,single,No,0,5,1
Karim,Taibi,439,876099.5,170000,6,40,employed,married,No,0,2,0
Rachid,Bouhired,816,1067475,600000,0,47,unemployed,single,Yes,0,2,0
Nadia,Hadjar,378,907225,730000,6,24,employed,married,Yes,0,0,1
Mehdi,Ghazali,668,1399056,170000,9,40,self-employed,single,No,0,3,1
Mohamed,Zidane,664,931176,490000,8,41,self-employed,single,Yes,0,1,0
Farida,Neggazi,806,1156690,390000,15,53,self-employed,married,Yes,5,0,0
Amir,Tarek,540,872219,435000,1,28,employed,married,No,2,2,0
Nadia,Guettouche,771,1779968,110000,21,62,employed,married,No,5,1,0
Rachid,Kaidi,698,767952,200000,23,54,employed,divorced,No,2,3,0
Mehdi,Nemmiche,697,380835,400000,7,61,employed,divorced,No,0,4,1
Mohamed,Fellag,768,1263472,460000,6,60,self-employed,married,Yes,2,2,0
Ali,LouCIF,675,876099.5,610000,9,39,self-employed,married,No,2,1,0
Iman,Rachedi,792,892109,90000,28,61,self-employed,single,No,0,2,0
Leila,Djelloul,786,681941,190000,4,22,self-employed,single,Yes,0,0,0
Aisha,Boumendjel,730,893654,570000,0,32,unemployed,divorced,Yes,1,2,0
Ali,Bacha,658,1666751,240000,0,49,student,married,No,0,4,1
Said,Ouali,679,1835938,300000,14,46,self-employed,married,Yes,1,1,0
Salima,Henni,419,966655,930000,3,44,self-employed,married,No,3,3,1
Fatima,Mahrez,436,534676,180000,7,52,employed,single,No,0,3,1
Omar,Amazigh,529,786693,130000,8,51,employed,married,Yes,1,3,0
Samira,Amara,676,1038558,300000,26,63,employed,divorced,Yes,1,2,0
Mohamed,Tahraoui,731,1369309,320000,15,56,self-employed,married,No,2,4,0
Mustafa,Cherki,427,929069,640000,0,28,unemployed,divorced,No,2,0,1
Yasmin,Kermali,338,583726,230000,6,37,employed,single,No,0,3,1
Bilal,Khelladi,345,717893,700000,0,47,student,single,No,0,1,1
Ahmed,Kafi,767,1551990,300000,0,69,unemployed,married,Yes,3,3,0
Rachid,Daoudi,757,1254650,590000,7,70,employed,married,Yes,1,3,0
Iman,Kashi,414,372932,950000,5,23,employed,married,No,0,1,1
Said,Kherroubi,444,811206,570000,0,22,student,single,No,0,2,1
Malika,Kadri,602,654288,150000,0,69,unemployed,single,No,0,7,1
Farida,Chabbi,385,371247,140000,0,33,student,divorced,No,2,0,1
Mustafa,Chenig,681,892786,450000,0,26,unemployed,divorced,No,0,1,1
Mohamed,Derradji,398,339879,710000,6,58,self-employed,single,No,0,2,1
Lamine,Kamel,391,980558,930000,0,53,unemployed,married,Yes,2,8,1
Leila,Tounsi,752,1732654,640000,0,30,unemployed,single,Yes,0,1,1
Ahmed,Dali,556,580075,300000,3,62,self-employed,married,No,3,5,0
Lamine,Rahim,532,778382,540000,9,56,employed,married,Yes,4,5,0
Iman,Djellab,502,966144,910000,8,40,employed,divorced,Yes,3,1,0
Aisha,Younes,742,1061296,450000,29,69,employed,married,Yes,3,7,0
Salima,Maachi,726,1122206,510000,0,37,student,married,Yes,0,0,0
Iman,Tebboune,566,718991,740000,0,24,unemployed,single,No,0,3,1
Youssef,Bentoumi,837,1132828,290000,0,41,student,married,Yes,0,4,0
Omar,Djebbar,729,1276775,500000,5,45,employed,divorced,Yes,3,3,0
Mohamed,Rachidi,723,1422713,350000,19,54,employed,married,No,2,4,0
Ali,Safir,333,857154,250000,1,45,employed,married,Yes,3,0,1
Salima,Ferhat,343,600897,740000,5,32,employed,married,Yes,0,0,1
Sara,Zemmouri,637,986010,700000,0,70,unemployed,married,Yes,0,5,1
Farida,Sekkal,685,1704873,380000,3,29,employed,married,Yes,2,1,0
Mohamed,Rzig,605,401377,330000,6,57,employed,married,Yes,0,1,0
Karim,Mezouar,540,539578,650000,3,59,self-employed,divorced,No,0,2,1
Youssef,Tamine,560,731783,540000,8,61,employed,married,Yes,0,4,1
Iman,Fassi,661,561537,360000,0,41,unemployed,single,Yes,0,2,0
Amina,Ayad,758,1140693,220000,0,56,student,single,Yes,0,4,0
Amir,Lounis,454,751891,910000,5,69,employed,single,No,0,5,1
Khaled,Driss,756,1226371,620000,0,46,unemployed,married,Yes,1,5,0
Mohamed,Yebda,686,1150013,110000,13,56,self-employed,married,No,1,4,0
Aisha,Mendil,670,652705,410000,27,46,self-employed,married,No,3,1,1
Karim,Messaoud,738,1010867,500000,16,50,employed,divorced,Yes,3,3,0
Zohra,Bencherif,780,772688,510000,9,39,self-employed,married,Yes,0,3,0
Said,Maamri,825,1581801,170000,16,67,employed,married,No,0,2,0
Zohra,Ammari,620,1020046,370000,4,39,employed,divorced,Yes,0,3,0
Samira,Rizki,671,1704337,240000,4,23,employed,married,Yes,0,0,0
Iman,Sahraoui,656,1392889,110000,4,56,self-employed,single,Yes,0,3,0
Bilal,Bettahar,705,1456583,500000,17,37,employed,married,Yes,1,2,1
Sara,Lebkiri,625,828888,670000,1,62,employed,married,No,0,1,1
Aisha,Maiza,391,798962,700000,0,57,unemployed,single,No,0,4,1
Yasmin,Lakhdar,327,388189,430000,3,54,employed,married,No,5,4,1
Ahmed,Saadoune,454,960770,450000,7,25,employed,single,Yes,0,0,0
Said,Souag,300,658655,210000,2,54,employed,married,Yes,3,2,1
Mehdi,Medjadj,316,266342,670000,6,35,employed,married,Yes,3,5,1
Sara,Brahimi,664,738575,430000,1,42,employed,single,Yes,0,2,0
Lamine,Berrabah,370,509040,680000,1,69,employed,single,No,0,5,1
Karim,Saidi,557,420642,870000,0,41,unemployed,single,No,0,1,1
Zohra,Merabet,509,737503,240000,6,29,employed,married,No,1,3,0
Khaled,Zaabat,504,350182,780000,3,28,employed,divorced,Yes,2,1,1
Bilal,Slimani,555,624618,600000,9,47,self-employed,married,No,3,2,1
Rachid,Hamek,592,925724,420000,4,38,employed,married,No,2,1,1
Malika,Keblouti,537,410875,435000,0,54,student,single,No,0,3,1
Mehdi,Boularas,454,381486,310000,8,69,employed,married,No,5,5,1
Youssef,Ameur,666,889288,370000,4,33,employed,single,Yes,0,0,0
Karim,Maroc,768,1377850,590000,5,43,employed,married,Yes,1,1,0
Nadia,Badani,700,722834,100000,25,43,employed,married,Yes,5,2,0
Leila,Chabane,662,703070,250000,1,67,employed,divorced,No,3,4,0
Sofiane,Zerrouki,841,1179811,580000,9,51,employed,single,Yes,0,6,0
Mehdi,Amrani,308,909817,240000,7,59,employed,single,Yes,0,5,1
Aisha,Jouini,616,805984,730000,3,59,employed,single,Yes,0,2,1
Amina,Gacemi,738,805627,620000,23,66,employed,single,Yes,0,4,0
Aisha,Mallek,802,1326336,550000,3,29,employed,single,No,0,1,1
Khaled,Idir,784,1413674,590000,16,48,employed,single,No,0,3,0
Ali,Harrouche,717,1451413,420000,0,48,unemployed,married,Yes,5,3,0
Youssef,Tellal,809,1398890,460000,0,55,student,married,Yes,1,1,0
Sofiane,Souleymane,671,958114,435000,4,42,employed,married,Yes,1,1,0
Samira,Haroun,716,1488117,430000,0,51,student,single,Yes,0,5,0
Nadia,Sellal,634,875729,320000,0,54,unemployed,single,Yes,0,5,0
Amina,Sebbar,791,1889929,370000,12,49,employed,married,Yes,3,3,0
Omar,Salim,531,340300,160000,3,68,self-employed,single,No,0,6,1
Sofiane,Jaber,713,748852,580000,21,54,self-employed,married,No,1,2,1
Lamine,Chouaki,382,323588,380000,8,26,employed,married,No,0,1,1
Sara,Arabi,623,967970,440000,2,47,employed,divorced,Yes,0,1,0
Samira,Makoudi,607,795464,580000,8,40,self-employed,single,Yes,0,3,1
Said,Badache,754,1129445,390000,0,25,student,married,No,1,1,1
Samira,Lemmouchia,614,266559,420000,6,56,employed,single,No,0,3,1
Rachid,Amrouche,659,738230,210000,20,70,employed,married,No,4,3,0
Khadija,Khalil,357,573653,910000,2,38,employed,single,No,0,1,1
Salima,Koudri,727,1784921,420000,14,65,employed,single,Yes,0,6,0
Zohra,Zeghdane,623,712748,730000,0,49,unemployed,single,Yes,0,4,0
Rachid,Sari,592,787383,370000,4,51,employed,married,No,1,4,1
Malika,Merbah,763,796843,190000,18,50,employed,single,Yes,0,5,0
Zohra,Cherkaoui,332,893871,540000,0,67,student,single,No,0,4,1
Zohra,Aouameur,526,388789,660000,5,27,employed,married,No,2,1,1
Aisha,Nouri,381,718250,730000,9,56,employed,single,No,0,3,1
Sara,Naoufel,452,479599,560000,0,62,student,married,No,3,3,1
Lamine,Zerbo,693,1726270,430000,16,58,self-employed,divorced,Yes,3,2,0
Malika,Djebbour,816,1603734,420000,0,45,unemployed,married,Yes,0,5,0
Sofiane,Tazi,716,948258,490000,0,50,unemployed,married,No,2,7,1
Yasmin,Souissi,845,1559625,410000,21,70,employed,married,No,5,4,0
Mohamed,Khoualed,310,348165,250000,2,67,employed,single,No,0,5,1
Ahmed,Bouziane,732,745418,420000,0,52,unemployed,married,No,0,2,0
Mehdi,Saadi,726,876099.5,290000,12,56,employed,single,No,0,2,0
