first_name,last_name,credit_score,annual_income,loan_amount,employment_duration,Age,EmploymentStatus,MaritalStatus,Vehicle_Ownership,Children_Count,Previous_Loan_Count,default
Yasmin,Fergani,676.0,1891933.0,180000.0,17.0,35.0,employed,single,Yes,0.0,1.0,0
Karim,Chahine,745.0,1391370.0,550000.0,12.0,30.0,employed,single,Yes,0.0,0.0,1
Iman,Mandaci,747.0,,410000.0,13.0,47.0,employed,married,Yes,0.0,3.0,0
,Chibane,809.0,996172.0,,2.0,23.0,employed,single,Yes,0.0,2.0,0
Samira,Meklat,768.0,1584162.0,600000.0,,41.0,unemployed,single,No,0.0,4.0,1
,,630.0,462645.0,280000.0,0.0,49.0,student,married,No,3.0,3.0,0
Mehdi,,501.0,704028.0,850000.0,0.0,68.0,student,married,No,4.0,9.0,1
Leila,Zaalani,740.0,1507459.0,400000.0,10.0,28.0,employed,,,0.0,0.0,0
Nadia,Khemisti,494.0,294901.0,400000.0,0.0,65.0,self-employed,divorced,No,1.0,4.0,1
Salima,Rahou,785.0,1640081.0,480000.0,11.0,29.0,employed,single,No,0.0,0.0,0
Amina,Bahri,465.0,782659.0,780000.0,0.0,68.0,unemployed,married,,,0.0,1
Rachid,Dekkiche,820.0,1294917.0,570000.0,0.0,56.0,unemployed,single,Yes,0.0,4.0,0
Youssef,El Amine,705.0,,140000.0,15.0,35.0,employed,married,Yes,4.0,0.0,0
Mustafa,Tlemcani,,798567.0,90000.0,20.0,38.0,employed,married,Yes,,2.0,0
Farida,Lamouri,684.0,876099.5,600000.0,11.0,57.0,employed,married,Yes,1.0,2.0,1
Leila,,517.0,1011492.0,430000.0,3.0,61.0,employed,single,Yes,0.0,3.0,1
Sofiane,Drif,468.0,890705.0,300000.0,7.0,25.0,employed,single,No,0.0,0.0,0
Ahmed,,784.0,1069352.0,380000.0,5.0,23.0,employed,divorced,Yes,,0.0,0
Farida,Mazouni,784.0,1500859.0,100000.0,6.0,27.0,employed,married,Yes,,0.0,0
Farida,Laroussi,713.0,1093315.0,340000.0,12.0,63.0,employed,single,Yes,0.0,8.0,0
Zohra,Zahi,592.0,322950.0,310000.0,7.0,25.0,self-employed,married,,1.0,1.0,0
Zohra,Aouad,595.0,800213.0,680000.0,0.0,50.0,student,single,No,0.0,3.0,1
Rachid,Khedairia,309.0,890679.0,200000.0,3.0,39.0,employed,married,Yes,3.0,1.0,1
Rachid,Kaci,787.0,1842679.0,250000.0,9.0,47.0,employed,married,No,2.0,1.0,0
,Lekhal,616.0,929427.0,390000.0,2.0,65.0,employed,married,No,2.0,5.0,1
Amina,Bouzid,801.0,1028625.0,390000.0,,55.0,employed,married,Yes,0.0,1.0,0
Djamila,Hamzaoui,793.0,1019829.0,80000.0,4.0,31.0,employed,single,Yes,0.0,1.0,0
Khadija,Majid,702.0,1873179.0,600000.0,2.0,57.0,employed,divorced,Yes,4.0,5.0,0
Yasmin,Aziz,569.0,626725.0,520000.0,2.0,35.0,employed,married,No,1.0,5.0,1
Malika,Attaf,620.0,698091.0,770000.0,0.0,52.0,unemployed,single,No,0.0,3.0,0
,Hocine,695.0,698896.0,200000.0,0.0,69.0,unemployed,married,No,0.0,7.0,1
Yasmin,Mokrani,343.0,855430.0,760000.0,9.0,36.0,employed,divorced,Yes,3.0,0.0,1
Farida,Nemdil,796.0,1236253.0,350000.0,11.0,29.0,employed,single,Yes,0.0,2.0,0
Amir,Sebti,513.0,,860000.0,0.0,35.0,unemployed,divorced,Yes,,,1
Mohamed,Fettis,807.0,,435000.0,0.0,44.0,unemployed,married,No,1.0,1.0,0
Karim,Mammeri,755.0,,590000.0,18.0,61.0,self-employed,single,Yes,0.0,6.0,0
Leila,Hamidi,671.0,973038.0,590000.0,0.0,42.0,student,divorced,Yes,,2.0,0
Aisha,Sid,642.0,580981.0,580000.0,1.0,37.0,employed,married,Yes,2.0,2.0,1
Sara,Samir,361.0,839689.0,210000.0,4.0,66.0,employed,,Yes,5.0,2.0,1
Sofiane,Abdi,789.0,1411427.0,190000.0,0.0,39.0,unemployed,single,,0.0,2.0,0
Mohamed,Mostefa,602.0,876099.5,520000.0,7.0,68.0,employed,married,No,3.0,0.0,0
Nadia,Sami,476.0,894944.0,580000.0,0.0,45.0,unemployed,divorced,,2.0,3.0,1
Ahmed,Meziane,682.0,1385536.0,290000.0,11.0,47.0,self-employed,,,0.0,6.0,1
Said,Zarour,760.0,1596751.0,630000.0,0.0,46.0,unemployed,single,Yes,0.0,3.0,0
Samira,,627.0,545502.0,,8.0,66.0,employed,married,Yes,3.0,10.0,0
Fatima,Khalfaoui,543.0,336828.0,770000.0,0.0,62.0,unemployed,,No,5.0,4.0,1
Sofiane,Allaoua,668.0,1381603.0,600000.0,26.0,50.0,employed,married,No,0.0,2.0,0
Mustafa,Barakat,587.0,995317.0,880000.0,7.0,36.0,employed,single,,,2.0,1
Sara,Boussaha,848.0,1500246.0,590000.0,5.0,66.0,self-employed,married,No,3.0,6.0,0
Yasmin,,320.0,757598.0,210000.0,2.0,22.0,employed,married,No,0.0,1.0,1
Samira,Amirouche,534.0,,530000.0,3.0,46.0,self-employed,single,No,0.0,3.0,1
Sara,Ould,429.0,728400.0,820000.0,,28.0,self-employed,,Yes,0.0,0.0,1
Khaled,Baraka,350.0,555090.0,540000.0,8.0,30.0,employed,married,Yes,,1.0,1
Zohra,Djabiri,719.0,,420000.0,6.0,45.0,employed,single,Yes,0.0,4.0,0
Khaled,Meziani,463.0,670260.0,660000.0,3.0,22.0,employed,married,Yes,,1.0,1
Samira,Sadmi,747.0,1180704.0,260000.0,14.0,,employed,,,,4.0,1
Sara,,671.0,1008747.0,620000.0,2.0,29.0,employed,married,Yes,0.0,0.0,1
Sofiane,Chaib,771.0,1240874.0,210000.0,0.0,45.0,student,married,Yes,1.0,0.0,0
Mohamed,Kandil,718.0,1318025.0,120000.0,14.0,32.0,employed,single,No,0.0,1.0,0
Amir,Meriem,680.0,1561437.0,460000.0,13.0,38.0,employed,married,Yes,2.0,1.0,0
Omar,Tahiri,723.0,1554250.0,570000.0,11.0,29.0,self-employed,married,Yes,0.0,1.0,1
Iman,Malek,702.0,846927.0,310000.0,25.0,56.0,employed,single,No,0.0,9.0,0
Farida,Touati,465.0,375805.0,360000.0,7.0,56.0,self-employed,single,Yes,0.0,4.0,1
Leila,Zellag,449.0,633351.0,530000.0,4.0,54.0,employed,divorced,Yes,2.0,3.0,1
Sofiane,Kaddour,708.0,876099.5,435000.0,,26.0,employed,single,Yes,0.0,0.0,1
Zohra,Achour,339.0,535837.0,740000.0,0.0,63.0,student,divorced,Yes,3.0,1.0,1
Ahmed,Meddour,689.0,715148.0,740000.0,0.0,60.0,unemployed,married,No,2.0,5.0,1
Iman,Selmani,652.0,678979.0,680000.0,1.0,62.0,self-employed,married,No,1.0,1.0,0
Youssef,Rabhi,599.0,325325.0,860000.0,0.0,49.0,student,married,No,1.0,2.0,1
Said,Darwish,654.0,1492994.0,360000.0,10.0,28.0,self-employed,single,No,0.0,2.0,1
Ahmed,Mebrouk,743.0,1716019.0,240000.0,12.0,30.0,employed,divorced,Yes,3.0,3.0,0
Sara,Chebout,629.0,916341.0,780000.0,6.0,29.0,employed,married,Yes,1.0,2.0,1
Yasmin,Mokhtari,438.0,854728.0,760000.0,0.0,,student,married,,1.0,2.0,1
Sofiane,Merzoug,370.0,867903.0,800000.0,2.0,55.0,self-employed,single,No,0.0,5.0,1
Mehdi,Hamou,718.0,1036834.0,170000.0,9.0,54.0,self-employed,married,No,2.0,6.0,0
Sofiane,Mokhtar,817.0,1773125.0,530000.0,20.0,47.0,employed,divorced,No,0.0,5.0,0
Leila,Soudani,751.0,1108303.0,330000.0,13.0,44.0,employed,,Yes,,4.0,0
Said,Ghezal,376.0,918384.0,350000.0,0.0,45.0,student,divorced,,,2.0,1
Khaled,Sadi,826.0,1791164.0,190000.0,16.0,58.0,employed,married,Yes,0.0,5.0,0
Sara,Azzam,762.0,,220000.0,11.0,56.0,self-employed,single,,0.0,0.0,0
Said,Badi,473.0,381320.0,435000.0,7.0,65.0,employed,single,No,0.0,9.0,1
Iman,Jebali,608.0,876099.5,140000.0,8.0,61.0,employed,divorced,No,2.0,6.0,1
Sofiane,Dahdouh,679.0,1899197.0,370000.0,0.0,43.0,student,single,Yes,0.0,0.0,0
Amina,Bahloul,609.0,770237.0,470000.0,0.0,,student,single,No,0.0,1.0,1
Rachid,Soltani,484.0,795592.0,790000.0,9.0,56.0,employed,single,Yes,0.0,7.0,1
Salima,Ounas,810.0,1207093.0,200000.0,,22.0,self-employed,married,Yes,0.0,,0
Mohamed,Nassif,503.0,392466.0,590000.0,0.0,56.0,unemployed,divorced,Yes,3.0,3.0,1
Rachid,Boujellal,666.0,1301772.0,110000.0,26.0,58.0,self-employed,divorced,Yes,3.0,4.0,0
Leila,Bouteldja,790.0,1509578.0,410000.0,2.0,68.0,employed,married,No,5.0,6.0,0
Khaled,Mouloud,756.0,1389468.0,,13.0,35.0,self-employed,single,Yes,0.0,1.0,0
Fatima,Zeroual,664.0,953365.0,290000.0,6.0,24.0,employed,single,Yes,0.0,0.0,0
Salima,Mihoubi,684.0,639632.0,840000.0,4.0,22.0,employed,single,No,0.0,0.0,1
Salima,,430.0,292016.0,610000.0,1.0,26.0,self-employed,,No,3.0,1.0,1
Djamila,Laskri,432.0,501137.0,480000.0,8.0,47.0,employed,married,,5.0,1.0,0
Farida,Mida,834.0,1281064.0,360000.0,17.0,35.0,employed,single,No,0.0,0.0,0
Omar,Sadji,811.0,1775308.0,110000.0,,60.0,self-employed,single,Yes,,7.0,0
Iman,Sabri,417.0,636836.0,930000.0,5.0,48.0,self-employed,married,No,2.0,1.0,1
Aisha,Khaldoun,653.0,1518273.0,290000.0,0.0,30.0,unemployed,single,Yes,0.0,,1
Sofiane,,676.0,1040652.0,390000.0,0.0,36.0,unemployed,,Yes,0.0,2.0,1
Khadija,Karam,,809252.0,630000.0,5.0,36.0,employed,divorced,Yes,3.0,2.0,1
Fatima,Sahnoun,660.0,876099.5,80000.0,24.0,47.0,employed,divorced,No,0.0,2.0,0
Zohra,Haddou,811.0,1133237.0,570000.0,8.0,63.0,employed,,Yes,4.0,3.0,0
Youssef,Mimouni,842.0,835948.0,390000.0,0.0,34.0,student,married,Yes,2.0,,0
Iman,Moussaoui,444.0,825849.0,690000.0,0.0,53.0,student,married,Yes,3.0,3.0,1
Yasmin,Haffaf,667.0,757840.0,540000.0,0.0,47.0,student,single,,0.0,2.0,1
Malika,Larbi,489.0,427715.0,570000.0,0.0,70.0,student,married,Yes,1.0,4.0,1
Leila,Remache,639.0,583215.0,780000.0,9.0,,employed,married,Yes,1.0,6.0,1
Fatima,Khiat,836.0,1044661.0,370000.0,7.0,25.0,employed,married,Yes,0.0,1.0,0
Sofiane,Baali,850.0,729830.0,560000.0,22.0,51.0,employed,divorced,No,0.0,4.0,0
Khadija,Ghomari,809.0,671728.0,450000.0,0.0,58.0,unemployed,single,Yes,0.0,7.0,1
Amir,Zafour,773.0,1236202.0,400000.0,26.0,44.0,employed,married,No,2.0,2.0,0
Nadia,Cheddad,,1221737.0,270000.0,27.0,60.0,self-employed,,No,1.0,4.0,0
Bilal,Daoud,645.0,406152.0,590000.0,3.0,66.0,employed,single,,0.0,6.0,0
Fatima,Taleb,586.0,793051.0,280000.0,9.0,36.0,employed,married,No,2.0,1.0,0
Khaled,Lallam,663.0,395555.0,420000.0,3.0,64.0,employed,married,No,3.0,3.0,0
Nadia,Kahlouche,515.0,435005.0,435000.0,0.0,50.0,student,married,No,2.0,4.0,1
Farida,Khadda,455.0,876099.5,570000.0,0.0,57.0,unemployed,married,No,5.0,3.0,1
Sara,Abbas,763.0,1253271.0,130000.0,16.0,34.0,employed,married,Yes,,3.0,0
Bilal,Chemakh,372.0,836739.0,840000.0,5.0,53.0,employed,married,,5.0,3.0,1
Lamine,Antar,709.0,1618288.0,70000.0,0.0,28.0,student,married,No,2.0,0.0,0
Sara,Kasdi,655.0,402296.0,860000.0,7.0,43.0,employed,single,Yes,0.0,1.0,1
Ali,Didouche,773.0,1042528.0,435000.0,3.0,49.0,self-employed,married,Yes,5.0,5.0,0
Amina,Bensaada,774.0,1578966.0,490000.0,0.0,23.0,student,,Yes,0.0,0.0,1
Farida,Amer,524.0,392912.0,830000.0,9.0,63.0,employed,,,,3.0,1
Mustafa,Debiche,831.0,1837993.0,120000.0,9.0,66.0,employed,married,Yes,1.0,4.0,0
Aisha,Hammani,669.0,,520000.0,9.0,27.0,self-employed,single,Yes,0.0,1.0,1
Zohra,Mahroug,762.0,987861.0,400000.0,15.0,49.0,employed,married,,4.0,2.0,0
Lamine,Messili,769.0,1405695.0,500000.0,9.0,49.0,employed,single,Yes,0.0,5.0,1
Nadia,,703.0,1852190.0,,19.0,65.0,self-employed,married,Yes,3.0,1.0,0
Amina,Fares,500.0,764070.0,510000.0,5.0,65.0,self-employed,married,Yes,1.0,6.0,0
Ahmed,Hadjeres,735.0,1876677.0,320000.0,2.0,41.0,self-employed,married,Yes,0.0,0.0,0
Fatima,Guettaf,388.0,762385.0,480000.0,0.0,51.0,student,single,Yes,0.0,3.0,1
Amir,Hakem,821.0,1607373.0,380000.0,6.0,32.0,employed,divorced,No,0.0,0.0,0
Said,Nessakh,727.0,717893.0,310000.0,7.0,49.0,employed,divorced,Yes,3.0,2.0,0
Aisha,Hachoud,822.0,1135050.0,435000.0,0.0,46.0,student,married,Yes,1.0,2.0,0
Zohra,Daas,717.0,932197.0,390000.0,0.0,60.0,unemployed,single,Yes,,3.0,0
Said,Azzouz,786.0,995789.0,80000.0,15.0,54.0,employed,married,No,3.0,4.0,0
Lamine,Seddiki,842.0,742712.0,630000.0,4.0,22.0,self-employed,single,No,0.0,1.0,0
Yasmin,,716.0,1690230.0,435000.0,3.0,48.0,employed,married,Yes,0.0,2.0,0
Bilal,Mekki,659.0,658591.0,140000.0,7.0,34.0,employed,married,No,2.0,0.0,0
Sofiane,,671.0,741077.0,830000.0,0.0,62.0,employed,married,No,5.0,5.0,1
Sofiane,Mahieddine,437.0,273083.0,590000.0,1.0,24.0,employed,married,No,0.0,,1
Mustafa,Hamouche,355.0,489660.0,520000.0,6.0,60.0,employed,divorced,No,3.0,8.0,1
Djamila,Boumediene,658.0,1358495.0,420000.0,9.0,27.0,employed,,Yes,2.0,,0
Djamila,Lafri,842.0,914426.0,420000.0,11.0,29.0,employed,single,Yes,0.0,2.0,0
Amir,Naciri,788.0,642556.0,390000.0,0.0,48.0,unemployed,,No,2.0,3.0,1
Djamila,,694.0,764045.0,630000.0,0.0,30.0,student,divorced,No,0.0,1.0,1
Ahmed,Boulahia,668.0,1657649.0,520000.0,0.0,58.0,unemployed,married,Yes,0.0,5.0,0
Ahmed,,650.0,795247.0,180000.0,9.0,54.0,self-employed,married,Yes,1.0,1.0,0
Aisha,Khalfi,509.0,333368.0,190000.0,3.0,63.0,employed,divorced,No,0.0,4.0,1
Aisha,Seridi,565.0,437660.0,435000.0,7.0,65.0,employed,married,No,0.0,9.0,1
Amir,Madani,616.0,703019.0,480000.0,4.0,45.0,self-employed,,No,0.0,0.0,1
Amir,Redouane,655.0,446099.0,530000.0,6.0,36.0,employed,single,No,0.0,0.0,1
Sara,Zabar,676.0,696981.0,670000.0,0.0,53.0,self-employed,,No,,3.0,1
Ahmed,,676.0,1130058.0,220000.0,15.0,53.0,employed,married,No,5.0,6.0,0
Lamine,Mahmoud,650.0,606374.0,,2.0,45.0,self-employed,married,Yes,2.0,1.0,0
Nadia,Dida,505.0,665076.0,790000.0,2.0,62.0,employed,,Yes,1.0,,1
Ahmed,,527.0,791187.0,690000.0,3.0,70.0,self-employed,married,No,2.0,5.0,1
Leila,Mahfoud,542.0,,920000.0,0.0,70.0,unemployed,married,,2.0,11.0,1
Aisha,Zoubida,785.0,876099.5,90000.0,15.0,33.0,self-employed,married,Yes,0.0,0.0,0
Mohamed,,817.0,934789.0,290000.0,27.0,60.0,employed,single,,0.0,5.0,0
Farida,Tawati,830.0,1841734.0,250000.0,0.0,23.0,unemployed,,Yes,0.0,1.0,0
Youssef,Gouasmia,550.0,607779.0,220000.0,2.0,,self-employed,married,,0.0,0.0,0
Karim,Laribi,727.0,1859518.0,240000.0,0.0,70.0,unemployed,married,Yes,3.0,4.0,0
Ali,Boussouf,686.0,624529.0,435000.0,0.0,58.0,unemployed,married,,0.0,1.0,1
Mehdi,Fathallah,719.0,1370126.0,130000.0,0.0,70.0,student,single,No,0.0,8.0,0
Lamine,Keffi,760.0,1150970.0,570000.0,14.0,38.0,employed,married,No,3.0,0.0,0
Khadija,Hakimi,368.0,611213.0,130000.0,0.0,70.0,unemployed,married,Yes,2.0,3.0,1
Mehdi,Bakir,485.0,629010.0,350000.0,0.0,23.0,unemployed,single,No,0.0,1.0,1
Amir,Djillali,677.0,1252479.0,560000.0,5.0,23.0,self-employed,married,Yes,1.0,0.0,0
Djamila,Nefzi,335.0,718365.0,760000.0,3.0,49.0,employed,single,Yes,0.0,4.0,1
Youssef,Tabti,694.0,568840.0,880000.0,0.0,44.0,employed,married,,3.0,3.0,1
Said,Djeghloul,527.0,869640.0,680000.0,3.0,58.0,self-employed,married,No,,3.0,1
Ahmed,Khazri,340.0,395376.0,590000.0,2.0,53.0,self-employed,married,No,1.0,4.0,1
,Meddah,534.0,385686.0,300000.0,3.0,54.0,employed,single,No,0.0,3.0,1
Ali,Yakoub,705.0,1018093.0,435000.0,0.0,22.0,unemployed,single,No,0.0,1.0,0
Iman,Gana,572.0,998674.0,380000.0,9.0,40.0,employed,single,Yes,0.0,1.0,0
Mohamed,Hammadi,716.0,1908862.0,390000.0,5.0,23.0,employed,married,Yes,,0.0,0
Mustafa,Lamara,677.0,1055678.0,,28.0,65.0,employed,single,Yes,,6.0,1
Amir,Sayad,766.0,1902172.0,160000.0,7.0,47.0,employed,,Yes,0.0,1.0,0
Sara,Hamdi,803.0,1871289.0,570000.0,0.0,53.0,unemployed,married,No,2.0,3.0,0
Djamila,Kassa,435.0,300455.0,340000.0,6.0,27.0,employed,single,No,0.0,0.0,1
Ahmed,Haddad,779.0,,410000.0,12.0,53.0,self-employed,married,,4.0,6.0,0
Farida,Akkouche,544.0,882598.0,900000.0,7.0,25.0,self-employed,married,No,1.0,0.0,1
Sofiane,Megheni,838.0,752797.0,580000.0,0.0,32.0,student,married,No,0.0,1.0,0
Sara,Chih,326.0,326691.0,910000.0,0.0,38.0,unemployed,,No,3.0,2.0,1
Khadija,Saad,421.0,470611.0,850000.0,0.0,59.0,employed,married,No,2.0,2.0,1
Salima,Boukhalfa,694.0,792630.0,520000.0,18.0,45.0,self-employed,divorced,No,2.0,1.0,0
Nadia,Remili,742.0,1329847.0,590000.0,0.0,26.0,student,married,,0.0,0.0,1
Said,Allam,467.0,507661.0,500000.0,5.0,55.0,employed,single,No,0.0,3.0,0
Amina,Hachi,693.0,770850.0,435000.0,7.0,27.0,self-employed,single,Yes,0.0,1.0,0
Rachid,Toumi,671.0,956059.0,350000.0,6.0,43.0,self-employed,married,Yes,0.0,6.0,1
Leila,Menasria,524.0,443048.0,420000.0,6.0,32.0,self-employed,married,No,0.0,2.0,1
Karim,Mecheri,672.0,796639.0,,0.0,69.0,student,,Yes,2.0,8.0,1
Leila,Sifi,,483123.0,220000.0,0.0,37.0,unemployed,divorced,No,4.0,2.0,0
Lamine,Merad,728.0,862733.0,470000.0,5.0,54.0,employed,married,No,3.0,5.0,1
Samira,Hamdani,,1630455.0,180000.0,12.0,30.0,self-employed,,No,2.0,0.0,0
Bilal,Meksen,670.0,306379.0,940000.0,8.0,27.0,self-employed,married,No,0.0,0.0,1
Khadija,Sellami,654.0,887386.0,390000.0,18.0,37.0,employed,divorced,Yes,2.0,0.0,0
Nadia,Ighil,676.0,1819775.0,210000.0,24.0,50.0,employed,married,No,2.0,8.0,0
Fatima,Hamad,465.0,414539.0,680000.0,4.0,24.0,employed,married,No,0.0,1.0,1
Mustafa,Lachachi,758.0,885330.0,270000.0,21.0,41.0,self-employed,single,No,0.0,,0
Youssef,,431.0,505465.0,640000.0,8.0,57.0,self-employed,single,No,,5.0,1
Karim,Taibi,439.0,876099.5,170000.0,6.0,,employed,married,No,0.0,2.0,0
Rachid,Bouhired,,1067475.0,600000.0,0.0,,unemployed,single,Yes,,2.0,0
Nadia,,378.0,907225.0,730000.0,6.0,,employed,married,Yes,0.0,0.0,1
Mehdi,Ghazali,668.0,1399056.0,170000.0,9.0,40.0,self-employed,single,No,0.0,3.0,1
Mohamed,Zidane,664.0,931176.0,490000.0,8.0,41.0,self-employed,single,Yes,0.0,1.0,0
Farida,Neggazi,806.0,1156690.0,390000.0,15.0,,self-employed,married,Yes,5.0,0.0,0
Amir,Tarek,540.0,872219.0,435000.0,1.0,28.0,employed,,No,2.0,2.0,0
Nadia,,771.0,1779968.0,,21.0,62.0,employed,married,,5.0,1.0,0
Rachid,Kaidi,698.0,767952.0,200000.0,23.0,54.0,employed,,No,2.0,,0
Mehdi,Nemmiche,697.0,,400000.0,7.0,,employed,divorced,No,0.0,4.0,1
,Fellag,768.0,1263472.0,460000.0,6.0,60.0,self-employed,married,Yes,2.0,2.0,0
Ali,LouCIF,675.0,876099.5,610000.0,9.0,39.0,self-employed,married,No,,1.0,0
Iman,Rachedi,792.0,892109.0,90000.0,28.0,61.0,self-employed,single,No,0.0,2.0,0
Leila,Djelloul,786.0,681941.0,190000.0,,22.0,self-employed,single,Yes,0.0,0.0,0
Aisha,Boumendjel,730.0,893654.0,570000.0,0.0,32.0,unemployed,divorced,Yes,1.0,2.0,0
Ali,Bacha,658.0,1666751.0,240000.0,0.0,49.0,student,married,No,,4.0,1
Said,Ouali,679.0,1835938.0,300000.0,14.0,46.0,self-employed,married,Yes,1.0,,0
Salima,Henni,419.0,966655.0,930000.0,3.0,44.0,self-employed,married,No,3.0,3.0,1
Fatima,Mahrez,436.0,534676.0,180000.0,7.0,52.0,employed,single,No,0.0,,1
Omar,Amazigh,529.0,786693.0,130000.0,8.0,51.0,employed,married,Yes,1.0,3.0,0
Samira,Amara,676.0,1038558.0,300000.0,26.0,63.0,employed,divorced,Yes,1.0,2.0,0
Mohamed,Tahraoui,731.0,1369309.0,320000.0,15.0,56.0,self-employed,married,No,2.0,4.0,0
Mustafa,,427.0,,640000.0,0.0,28.0,unemployed,divorced,No,2.0,0.0,1
Yasmin,Kermali,338.0,583726.0,230000.0,6.0,37.0,employed,single,No,0.0,3.0,1
Bilal,Khelladi,345.0,,700000.0,0.0,47.0,student,single,No,0.0,1.0,1
Ahmed,,767.0,1551990.0,300000.0,0.0,69.0,unemployed,married,Yes,3.0,3.0,0
Rachid,Daoudi,757.0,1254650.0,590000.0,7.0,70.0,employed,married,Yes,1.0,3.0,0
Iman,Kashi,414.0,372932.0,950000.0,5.0,23.0,employed,married,No,,1.0,1
Said,Kherroubi,444.0,811206.0,570000.0,0.0,22.0,student,single,No,0.0,2.0,1
Malika,Kadri,602.0,654288.0,150000.0,0.0,69.0,unemployed,single,No,0.0,7.0,1
