Length,Has_Upper,Has_Lower,Has_Digits,Has_Special,Unique_Chars,Entropy,Label,Password
7,0,1,1,0,7.0,2.807354922057604,1,abc2613
7,0,1,1,0,7.0,2.807354922057604,1,john132
8,0,1,1,0,7.0,2.75,1,abc01186
8,0,1,1,0,7.0,2.75,1,yjarr123
6,0,1,0,0,1.0,0.0,1,llllll
8,0,1,1,0,8.0,3.0,1,dsewu123
6,0,1,1,0,6.0,2.584962500721156,1,abc106
17,1,1,1,1,16.0,3.969815782426811,0,Baj-|NGYS}]Sc2fb8
15,1,1,1,1,15.0,3.906890595608518,0,^jpJ;R#)]1m<Yq5
6,0,0,1,0,6.0,2.584962500721156,1,123456
19,1,1,1,1,16.0,3.9321380397593737,0,WQe0083e\Xn+IuwF`dw
17,1,1,1,1,17.0,4.08746284125034,0,'sZ6R^UlQ[?kDh8M=
4,0,0,1,0,3.0,1.5,1,2269
17,1,1,1,1,16.0,3.969815782426811,0,2Mrn!2hF6C`g%w*7p
8,0,0,1,0,5.0,2.25,1,01301996
7,0,1,1,0,6.0,2.5216406363433186,1,emma580
20,1,1,1,1,,4.121928094887362,0,@Xk[Us[tkQ-*}]KS1m:G
9,0,1,0,0,6.0,2.503258334775646,1,yakrymkta
14,1,1,1,1,13.0,3.6644977792004623,0,"O{{oN6/:+xkX,A"
5,0,1,0,0,5.0,2.321928094887362,1,dhzbt
11,1,1,1,1,11.0,3.459431618637298,0,w'L~PRu6Mr3
14,1,1,1,1,13.0,3.6644977792004623,0,lH~V(VmxXW[Z?7
8,0,1,1,0,8.0,3.0,1,udkqi123
6,1,0,0,0,6.0,2.584962500721156,1,PDLSJB
17,1,1,1,1,16.0,3.969815782426811,0,"/6JdBR""TJ!x`H@tPS"
7,0,1,0,0,5.0,2.235926350629032,1,roggcnc
4,0,0,1,0,4.0,2.0,1,8413
12,1,1,1,1,12.0,3.584962500721156,0,B;n*13|?4Up(
17,1,1,1,1,16.0,3.969815782426811,0,"rP?lhnj%[^BW/6""/F"
16,1,1,1,1,15.0,3.875,0,b+q7OU1%&^(XDhUw
16,1,1,1,1,12.0,3.5,0,7B4^UmeV4Vd_J_UE
16,1,1,1,1,14.0,3.75,0,"N7.6""zwl||_Pk@G6"
15,1,1,1,1,15.0,3.906890595608518,0,%X/f7\VihHAUBD8
8,0,0,1,0,4.0,1.9056390622295665,1,07072012
14,1,1,1,1,12.0,3.521640636343319,0,"""_AufLQ5)9g_EQ"
10,1,1,1,1,10.0,3.321928094887362,0,n&%f9b7[JQ
10,1,1,1,1,10.0,3.321928094887362,0,)M#Pi;4NgU
8,0,1,1,0,8.0,3.0,1,abc39728
14,1,1,1,1,14.0,3.8073549220576055,0,ar&L(>U%tT265H
10,1,1,1,1,10.0,3.321928094887362,0,7nmbrpo8:M
10,0,0,1,0,5.0,2.246439344671016,1,3508835400
10,1,1,1,1,10.0,3.321928094887362,0,"9,CI""8h]fw"
13,1,1,1,1,12.0,3.5465935642949384,0,@eGkU\lV+J@W4
7,0,1,1,0,5.0,2.235926350629033,1,emma311
5,0,1,0,0,1.0,0.0,1,jjjjj
18,1,1,1,1,16.0,3.94770277922009,0,ot.-8iK+.1b<`%s1m|
13,1,1,1,1,13.0,3.7004397181410926,0,&-LC(jyt7mr#K
16,1,1,1,1,14.0,3.75,0,UH*BQ=U2$5*w8DGm
20,1,1,1,1,18.0,4.121928094887362,0,#3#1Tz>nU2?[!RiV'bS1
14,1,1,1,1,14.0,3.8073549220576055,0,)1`?jqWQLZ]y6\
8,0,0,1,0,7.0,2.75,1,65760834
15,1,1,1,1,14.0,3.773557262275185,0,$s>ujU:\$n4TZd]
15,1,1,1,1,13.0,3.640223928941852,0,"~M2,_m/W?,e`Z~p"
9,0,1,1,0,8.0,2.94770277922009,1,abc875524
10,1,1,1,1,9.0,3.121928094887362,0,7q<9\>h;G\
9,0,0,1,0,7.0,2.725480556997868,1,590164907
8,0,0,1,0,7.0,2.75,1,04071965
20,1,1,1,1,19.0,4.221928094887362,0,tG0Eyo+7\<8BzB`Vqc:v
10,1,1,1,1,9.0,3.1219280948873624,0,"T4y"":""6a!("
6,0,0,1,0,5.0,2.2516291673878226,1,027131
7,0,1,0,0,5.0,2.235926350629033,1,jkjvoaa
12,1,1,1,1,11.0,3.4182958340544896,0,8!/cENPoyU!R
15,1,1,1,1,12.0,3.506890595608519,0,}kk_2F?:/):J/KN
10,1,1,1,1,9.0,3.121928094887362,0,P'4|!kjm6P
20,1,1,1,1,18.0,4.121928094887362,0,:HnH03OXw(/3S$R~ke-o
6,0,1,1,0,6.0,2.584962500721156,1,abc941
5,0,1,0,0,5.0,2.321928094887362,1,vzlnk
20,1,1,1,1,18.0,4.121928094887362,0,"+6""y|OK?Y0/OZB@BsIei"
17,1,1,1,1,16.0,3.969815782426811,0,f03CweA0;Ezb/Ii\4
6,0,1,1,0,6.0,2.584962500721156,1,abc123
10,1,1,1,1,10.0,3.321928094887362,0,\6ENVCkdbX
14,1,1,1,1,13.0,3.6644977792004623,0,Sqis@Fr8Jh`'0q
8,0,1,0,0,7.0,2.75,1,password
7,0,1,0,0,7.0,2.807354922057604,1,fseklgc
19,1,1,1,1,18.0,4.142664355548846,0,k[3)EXu5a./_0Hj8udw
8,0,1,1,0,6.0,2.5,1,david727
8,0,1,1,0,7.0,2.75,1,david370
14,1,1,1,1,13.0,3.6644977792004623,0,))V3mQH>&S[82-
15,1,1,1,1,12.0,3.5068905956085192,0,"3,q\C(8}!F,q<B8"
7,0,1,1,0,7.0,2.807354922057604,1,mike217
13,1,1,1,1,12.0,3.5465935642949384,0,")+(2jo,|I$Ro"""
17,1,1,1,1,16.0,3.969815782426811,0,"fFs+T3&0L""FhVw4^P"
12,1,1,1,1,11.0,3.418295834054489,0,"08vj#t""R?!!u"
10,0,0,1,0,8.0,2.9219280948873623,1,8583125497
16,1,1,1,1,15.0,3.875,0,>.kkPA$mtW*YN'J1
11,1,1,1,1,10.0,3.277613436819116,0,`_pbbE2{sR3
13,1,1,1,1,11.0,3.3927474104487847,0,Y$l7#s[bY4#U)
8,0,0,1,0,6.0,2.4056390622295662,1,01311954
18,1,1,1,1,18.0,4.169925001442312,0,",KS7r.]9h/2k(GN`mD"
15,1,1,1,1,14.0,3.773557262275185,0,"?C=BAiX1u]F,gCd"
4,0,1,0,0,4.0,2.0,1,vmae
7,0,1,1,0,6.0,2.5216406363433186,1,john828
11,1,1,1,1,9.0,3.095795255000934,0,qm=F/&4KqU4
8,0,1,0,0,8.0,3.0,1,gdauimzk
7,0,1,1,0,7.0,2.807354922057604,1,abc7821
6,0,0,1,0,1.0,0.0,1,111111
10,1,1,1,1,9.0,3.121928094887362,0,3$RkMIVcM8
6,0,1,1,0,5.0,2.2516291673878226,1,abc244
20,1,1,1,1,19.0,4.221928094887362,0,",JOxFOr5ld&@jY%oXU{"""
13,1,1,1,1,13.0,3.7004397181410926,0,"8NRgHq*)6Z,kj"
13,1,1,1,1,11.0,3.3927474104487847,0,j`n'3^?3utA`V
4,0,1,0,0,4.0,2.0,1,nedf
8,0,1,1,0,8.0,3.0,1,aerux123
8,0,0,1,0,5.0,2.25,1,03192013
8,0,1,1,0,7.0,2.75,1,abc38707
14,1,1,1,1,14.0,3.8073549220576055,0,vS;2c._EAL=(7{
12,1,1,1,1,12.0,3.584962500721156,0,"0Y\u,X#IQt`U"
19,1,1,1,1,19.0,4.247927513443583,0,`%Z$6B4-YWS<GjMn7a]
18,1,1,1,1,17.0,4.058813890331201,0,"8N""T'y}m774]HKOU$@"
16,1,1,1,1,14.0,3.75,0,A=8;`OM1mmt1b[^_
8,0,1,1,0,6.0,2.4056390622295662,1,abc46442
5,0,0,1,0,4.0,1.9219280948873625,1,17681
20,1,1,1,1,18.0,4.121928094887362,0,"Q,DF@HMEb}X5a2P-}fHI"
20,1,1,1,1,18.0,4.121928094887362,0,!0GS]bbCK5^n}&miy5Wf
16,1,1,1,1,15.0,3.875,0,)tG/4PI-Qaut7{fr
18,1,1,1,1,17.0,4.058813890331201,0,_\hD6gGh*IKuLzs^aA
14,1,1,1,1,13.0,3.6644977792004623,0,"D""Bt!NR7e""I1bl"
15,1,1,1,1,14.0,3.773557262275185,0,r}9776vQ?=etK'0
10,1,1,1,1,10.0,3.321928094887362,0,jrn3}B7b'K
4,0,1,0,0,1.0,0.0,1,aaaa
7,0,1,0,0,1.0,0.0,1,ddddddd
6,0,1,0,0,5.0,2.2516291673878226,1,aazgku
11,1,1,1,1,10.0,3.277613436819116,0,"%!w%SA}uH""2"
6,0,1,0,0,1.0,0.0,1,eeeeee
5,0,1,0,0,4.0,1.9219280948873625,1,xlcxh
8,0,1,1,0,7.0,2.75,1,pvbvc123
6,0,1,0,0,6.0,2.584962500721156,1,zetasy
8,1,0,0,0,7.0,2.75,1,RIKGNROW
14,1,1,1,1,14.0,3.8073549220576055,0,r6L_J)2lKp%Qi8
7,0,1,0,0,6.0,2.521640636343318,1,letmein
11,1,1,1,1,10.0,3.277613436819116,0,ZN?^w7{678'
8,0,1,0,0,1.0,0.0,1,llllllll
8,0,1,1,0,8.0,3.0,1,nbglp123
16,1,1,1,1,16.0,4.0,0,kW1<_]RQH}e@UY'O
18,1,1,1,1,16.0,3.905764584655453,0,"&,>+e>'O3N>6/.S8=9"
11,1,1,1,1,10.0,3.277613436819116,0,k^ofYy2B2+q
4,0,0,1,0,4.0,2.0,1,3128
17,1,1,1,1,17.0,4.08746284125034,0,I`8&^'>W5OfeTbK]m
9,1,0,0,0,9.0,3.169925001442312,1,QHKJZOPGN
5,0,1,0,0,5.0,2.321928094887362,1,arelo
16,1,1,1,1,16.0,4.0,0,9?:nQ%rVgG|6)qz+
11,1,1,1,1,11.0,3.459431618637298,0,^6$P1_JVzU!
18,1,1,1,1,15.0,3.8365916681089782,0,"%9,hM?M[0]sJJPEC/h"
8,0,1,0,0,7.0,2.75,1,stgcbigx
18,1,1,1,1,18.0,4.169925001442312,0,N8BV~@4\Z5z|F(i%_`
8,0,1,1,0,8.0,3.0,1,dhpiz123
7,0,1,0,0,4.0,1.9502120649147463,1,ddcrucu
9,1,0,0,0,7.0,2.725480556997868,1,QBFQTPEII
11,1,1,1,1,9.0,3.095795255000934,0,"9""{O""l@p5oO"
10,1,1,1,1,10.0,3.321928094887362,0,S/aXqNV3_n
15,1,1,1,1,14.0,3.773557262275185,0,9S!:C%SWTu;aZ1#
7,1,0,0,0,5.0,2.235926350629033,1,ZFQZBWF
19,1,1,1,1,18.0,4.142664355548847,0,h:k1Zc;}/|CeX@;N%KV
9,0,1,0,0,9.0,3.169925001442312,1,zatexgmci
10,1,1,1,1,10.0,3.321928094887362,0,$i7x/hBk+s
4,0,1,0,0,1.0,0.0,1,bbbb
20,1,1,1,1,19.0,4.221928094887362,0,l+m]$%#V?2ZQ3C-bnH?*
14,1,1,1,1,12.0,3.521640636343319,0,"&wj1,ew}K@0'De"
17,1,1,1,1,16.0,3.969815782426811,0,vM.8M_6J2jG4>SX+z
8,0,1,1,0,7.0,2.75,1,xztzr123
10,1,1,1,1,9.0,3.121928094887362,0,L{5Qf!@Pyy
4,0,1,0,0,4.0,2.0,1,emrw
6,0,1,0,0,6.0,2.584962500721156,1,ixnkbj
8,0,0,1,0,6.0,2.5,1,04031988
11,1,1,1,1,10.0,3.277613436819116,0,<4`I><eF6(5
8,0,1,1,0,8.0,3.0,1,mndsr123
9,1,0,0,0,9.0,3.169925001442312,1,KQSXRNGLA
10,1,1,1,1,9.0,3.121928094887362,0,zd9ZO^^}[r
8,0,1,0,0,1.0,0.0,1,ffffffff
15,1,1,1,1,15.0,3.906890595608518,0,X}L*#[MwT8vm\x3
5,0,1,0,0,4.0,1.9219280948873625,1,dcwee
7,0,1,1,0,6.0,2.521640636343318,1,john466
20,1,1,1,1,18.0,4.121928094887362,0,fW1!W&[s~5nJAalhE!|N
8,0,1,1,0,8.0,3.0,1,cgmqd123
12,1,1,1,1,11.0,3.4182958340544896,0,6m@DB&+_pC+f
10,1,1,1,1,10.0,3.321928094887362,0,p3Yw#V>7<L
20,1,1,1,1,20.0,4.321928094887363,0,FtpX\-cjsUKqr1?!}2*b
7,1,0,0,0,7.0,2.807354922057604,1,YHWPTGI
13,1,1,1,1,12.0,3.5465935642949384,0,]MEX%QSu+e6(+
8,0,1,1,0,8.0,3.0,1,ubxih123
10,1,1,1,1,10.0,3.321928094887362,0,"47<FVLg"".>"
14,1,1,1,1,13.0,3.6644977792004623,0,Ds$rum^5J`5[Bp
20,1,1,1,1,18.0,4.121928094887362,0,O$?0tnkqS?~4`y*'T!DT
14,1,1,1,1,12.0,3.4677201004745006,0,jP\oJu|1GJJ2h_
8,0,0,1,0,6.0,2.4056390622295662,1,09152008
8,0,0,1,0,5.0,2.25,1,05151997
4,0,1,0,0,1.0,0.0,1,aaaa
6,0,1,0,0,6.0,2.584962500721156,1,qpxbhi
7,0,1,1,0,7.0,2.807354922057604,1,john607
8,0,0,1,0,7.0,2.75,1,84097543
13,1,1,1,1,13.0,3.7004397181410926,0,u^{`OpM:fj7l;
5,0,1,0,0,5.0,2.321928094887362,1,auvni
11,1,1,1,1,11.0,3.459431618637298,0,:)=A<t*JTg0
7,0,0,1,0,5.0,2.1280852788913944,1,6874088
17,1,1,1,1,17.0,4.08746284125034,0,bK^XM74y%3=LOgfY*
20,1,1,1,1,20.0,4.321928094887363,0,9/d+CT(|XIO0]SP#xr!Z
5,0,1,0,0,5.0,2.321928094887362,1,snjpv
8,0,1,1,0,8.0,3.0,1,saqkr123
8,0,1,1,0,8.0,3.0,1,bdfag123
7,0,0,1,0,4.0,1.950212064914747,1,4337545
9,1,0,0,0,8.0,2.9477027792200903,1,OUUCWTBYR
8,0,0,1,0,4.0,1.9056390622295665,1,12161996
8,0,0,1,0,6.0,2.5,1,12251976
4,0,1,0,0,1.0,0.0,1,iiii
7,0,1,0,0,1.0,0.0,1,yyyyyyy
13,1,1,1,1,12.0,3.5465935642949384,0,"7KRP<q,R)g!N+"
13,1,1,1,1,13.0,3.7004397181410926,0,"<R2H[N^v$,t6}"
8,0,1,1,0,7.0,2.75,1,yqene123
8,1,0,0,0,6.0,2.5,1,JLFFVSEE
8,0,1,1,0,8.0,,1,hfbaw123
5,0,1,0,0,5.0,2.321928094887362,1,nkibx
6,0,1,0,0,6.0,2.584962500721156,1,qwerty
14,1,1,1,1,11.0,3.3248629576173565,0,]{gTkgXq8ng8ld
8,0,1,1,0,8.0,3.0,1,oehxk123
16,1,1,1,1,15.0,3.875,0,>V.Z?G4Cv5<b${{z
18,1,1,1,1,17.0,4.058813890331201,0,"[,K)UMmXx;EgtYag8!"
18,1,1,1,1,17.0,4.058813890331201,0,/AaDY37)*0wM}3yVbL
8,0,1,1,0,6.0,2.5,1,david141
14,1,1,1,1,14.0,3.8073549220576055,0,nuRk<Jb7I*$to(
14,1,1,1,1,14.0,3.8073549220576055,0,;iS&m@E}b+24v*
18,1,1,1,1,17.0,4.058813890331201,0,"9h""v+""i$6,V]GunCU%"
6,0,1,0,0,6.0,2.584962500721156,1,bhacdp
10,1,1,1,1,10.0,3.321928094887362,0,n;D[]K+2_`
7,0,1,0,0,6.0,2.5216406363433186,1,mgttvkw
8,0,1,1,0,7.0,2.75,1,david487
11,1,1,1,1,11.0,3.459431618637298,0,gclqpA{fQ73
7,0,1,0,0,7.0,2.807354922057604,1,mctskfj
7,0,1,1,0,6.0,2.5216406363433186,1,abc9212
17,1,1,1,1,14.0,3.6901165175936654,0,+gKO5U!r2by!x<rrT
8,0,1,1,0,7.0,2.75,1,sarah157
8,0,1,1,0,8.0,3.0,1,wcslz123
16,1,1,1,1,15.0,3.875,0,"ew:J,aO)x~4;xY+`"
7,0,1,1,0,4.0,1.8423709931771084,1,emma333
15,1,1,1,1,15.0,3.906890595608518,0,o8&3HZc?5gz1qwi
8,0,1,1,0,8.0,3.0,1,rqsyn123
20,1,1,1,1,18.0,4.121928094887362,0,"kKR1\""k4X_3I2%i""x~ZV"
9,0,1,0,0,7.0,2.725480556997868,1,mmalwglfy
10,1,1,1,1,10.0,3.321928094887362,0,3o%PR^vq4*
19,1,1,1,1,18.0,4.142664355548847,0,",j+JKq[gL#k7db!IGq<"
19,1,1,1,1,16.0,3.9321380397593737,0,"#n*#_'2ioALG_G4Rj,$"
7,0,1,0,0,6.0,2.521640636343318,1,welcome
18,1,1,1,1,15.0,3.8365916681089782,0,7/|gC[U8*QU<|gR65@
11,1,1,1,1,10.0,3.277613436819116,0,{+(@&4Ml4;H
13,1,1,1,1,13.0,3.7004397181410926,0,"""teW?8YXn{@[0"
20,1,1,1,1,17.0,4.021928094887362,0,"!Y9Ki9GgoxZ84,!1Rj,p"
14,1,1,1,1,13.0,3.6644977792004623,0,oYu^C8'(YdL[6r
17,1,1,1,1,16.0,3.969815782426811,0,y_:?0%khY$Vul4!B4
7,0,1,1,0,7.0,2.807354922057604,1,abc3085
8,0,0,1,0,5.0,2.25,1,10232017
10,1,1,1,1,10.0,3.321928094887362,0,gw*Yfs5|1u
18,1,1,1,1,17.0,4.058813890331201,0,&8tynmYIJawGk`ET&<
10,1,1,1,1,10.0,3.321928094887362,0,"6{q'P#,xWD"
13,1,1,1,1,13.0,3.7004397181410926,0,"9n|~!,(0EIF""#"
6,0,0,1,0,5.0,2.2516291673878226,1,734963
8,0,0,1,0,6.0,2.5,1,03171957
20,1,1,1,1,16.0,3.884183719779189,0,"0u]9(f?cH.9AF.5,unq9"
20,1,1,1,1,18.0,4.121928094887362,0,d;>V*n74Di<C]?Xv>]P8
8,0,0,1,0,6.0,2.5,1,07261979
4,0,1,0,0,1.0,0.0,1,oooo
20,1,1,1,1,19.0,4.221928094887362,0,"dO,2>0NPuVZ)/[)4#R'T"
9,1,0,0,0,9.0,3.169925001442312,1,EUYXPOFKN
4,0,0,1,0,4.0,2.0,1,1037
8,1,0,0,0,8.0,3.0,1,KWBNSCOM
20,1,1,1,1,18.0,4.121928094887362,0,b]'o&?7}tR1GWI^N^/o)
8,0,1,1,0,6.0,2.5,1,david226
8,0,0,1,0,6.0,2.5,1,05192024
14,1,1,1,1,12.0,3.521640636343319,0,1iv37iJUGMJ9j*
16,1,1,1,1,13.0,3.577819531114783,0,"D;=q4""%+;""""xkT[~"
8,0,1,0,0,1.0,0.0,1,ffffffff
18,1,1,1,1,18.0,4.169925001442312,0,"g&Kf""G<It-hzWv[2P`"
14,1,1,1,1,12.0,3.521640636343319,0,y$.G;0?suGxC5x
19,1,1,1,1,18.0,4.142664355548846,0,d[^3Yx5^D>-PWtTI!9)
8,0,1,0,0,7.0,2.75,1,password
10,1,1,1,1,10.0,3.321928094887362,0,"YU""RtJ*Ci6"
12,1,1,1,1,12.0,3.584962500721156,0,;{Yac7twkGB)
16,1,1,1,1,13.0,3.577819531114783,0,50D.*p\)*T2h\Q*x
15,1,1,1,1,15.0,3.906890595608518,0,"[5_K')ZN""06euQk"
8,0,0,1,0,5.0,2.25,1,02201996
10,0,0,1,0,7.0,2.646439344671016,1,5024890970
12,1,1,1,1,11.0,3.4182958340544896,0,eFGp6|Fz!4iX
8,0,0,1,0,6.0,2.5,1,08152013
13,1,1,1,1,13.0,3.7004397181410926,0,xy<&Dm/LKG}7.
4,0,1,0,0,4.0,2.0,1,enzv
15,1,1,1,1,12.0,3.506890595608518,0,ydt&9Z~&R#b3#94
8,0,1,1,0,7.0,2.75,1,trustno1
8,0,1,1,0,7.0,2.75,1,uwkuj123
13,1,1,1,1,13.0,3.7004397181410926,0,#G(4[{]@w>t_q
10,0,0,1,0,7.0,2.7219280948873625,1,5494811532
11,1,1,1,1,11.0,3.459431618637298,0,l.)D1V8%_hX
13,1,1,1,1,13.0,3.7004397181410926,0,"'o/,u=cN""i9$|"
15,1,1,1,1,15.0,3.906890595608518,0,v@Wd~j;9/)1luIR
13,1,1,1,1,11.0,3.392747410448785,0,"?F4e""L{tiF<;;"
8,0,1,1,0,8.0,3.0,1,zmwpf123
3,0,1,0,0,2.0,1.0,0,aab
8,0,1,1,0,8.0,3.0,1,huzlx123
9,0,0,1,0,7.0,2.6416041678685933,1,985200014
10,1,1,1,1,10.0,3.321928094887362,0,-(Y0gONJf$
4,0,1,0,0,3.0,1.5,1,ecdd
11,1,1,1,1,11.0,3.459431618637298,0,#2f3)swqC-V
10,1,1,1,1,9.0,3.121928094887362,0,W8\/_%R%v`
12,1,1,1,1,11.0,3.418295834054489,0,@]}so4I]p7Cj
8,0,1,1,0,7.0,2.75,1,abc49639
8,0,0,1,0,3.0,1.2987949406953985,1,01012000
5,0,1,0,0,5.0,2.321928094887362,1,vgher
19,1,1,1,1,16.0,3.932138039759373,0,q_-@AE(rr4{^@nN(&z5
8,0,1,1,0,8.0,3.0,1,sqzfd123
7,0,1,0,0,1.0,0.0,1,sssssss
4,0,1,0,0,3.0,1.5,1,slxl
6,0,0,1,0,1.0,0.0,1,111111
11,1,1,1,1,11.0,3.459431618637298,0,_K+9`R3E(gw
18,1,1,1,1,17.0,4.058813890331201,0,"*OejmcE_,)>JBt0C$,"
12,1,1,1,1,12.0,3.584962500721156,0,<(KFR_1Ybsgx
6,0,0,1,0,5.0,2.2516291673878226,1,214959
9,0,1,1,0,8.0,2.94770277922009,1,abc276144
8,1,0,0,0,7.0,2.75,1,NVLZABUB
5,0,1,0,0,1.0,0.0,1,vvvvv
8,0,1,1,0,8.0,3.0,1,dfpck123
8,0,1,1,0,7.0,2.75,1,sarah672
7,0,1,1,0,7.0,2.807354922057604,1,mike190
7,0,1,0,0,7.0,2.807354922057604,1,bcdvxme
18,1,1,1,1,17.0,4.058813890331201,0,vB>>dozM4U\3QbPE}g
18,1,1,1,1,16.0,3.94770277922009,0,"fY,:Xq/1FnP9_X~:#["
